"Table U2"	"X__1"	"X__2"	"X__3"	"X__4"	"X__5"	"X__6"	"X__7"	"X__8"
"All sectors; detailed consumption by fuel and end use by fuel 2016 to 2018"	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
"Return to Title page"	0	0	0	0	0	0	0	"Thousand tonnes of oil equivalent (ktoe)"
"Sector"	"End use"	"Gas"	"Oil"	"Solid fuel"	"Electricity"	"Heat sold"	"Bioenergy & Waste"	"Total"
0	0	"2018"	0	0	0	0	0	0
"Domestic"	"Space heating"	"20569.582457572895"	"2004.8066721536482"	"504.29950861790707"	"1564.2690813705422"	"260.44203527052508"	"2240.1046235439767"	"27143.504378529491"
0	"Water heating"	"6014.2806509722495"	"472.36098641052888"	"21.071316958356164"	"403.83031043883199"	0	"128.42839541360067"	"7039.9716601935679"
0	"Cooking/catering"	"617.16256112961537"	"0"	"0"	"490.7636296922193"	0	"0"	"1107.9261908218346"
0	"Heat total"	"27201.02566967476"	"2477.1676585641771"	"525.3708255762632"	"2458.8630215015933"	"260.44203527052508"	"2368.5330189575775"	"35291.402229544896"
0	"Lighting and appliances"	"0"	"0"	"0"	"6575.0618942145757"	"0"	"0"	"6575.0618942145757"
0	"Overall total"	"27201.02566967476"	"2477.1676585641771"	"525.3708255762632"	"9033.9249157161685"	"260.44203527052508"	"2368.5330189575775"	"41866.46412375947"
0	0	0	0	0	0	0	0	0
"Services (excl agriculture)"	"Space heating"	"6044.3723973623692"	"1598.4612985354374"	"0"	"763.47806837838584"	"267.26877239263371"	"857.22604836781943"	"9530.8065850366474"
0	"Water heating"	"802.28036649170519"	"256.45972071697963"	"0"	"162.02586395470115"	"17.660004171546273"	"110.99437354091648"	"1349.4203288758488"
0	"Cooking/catering"	"586.74358345205417"	"800.61761409480323"	"0"	"761.06696652864696"	"0.39169961064548392"	"0"	"2148.8198636861498"
0	"Heat total"	"7433.3963473061285"	"2655.5386333472202"	"0"	"1686.5708988617339"	"285.3204761748255"	"968.22042190873594"	"13029.046777598644"
0	"Computing"	"0"	"0"	"0"	"825.06300045863441"	"0"	"0"	"825.06300045863441"
0	"Cooling and ventilation"	"2.5180974075091322"	"42.831756122335712"	"0"	"1063.6496969099535"	"5.1948608978213649E-2"	"0"	"1109.0514990487766"
0	"Lighting"	"0"	"0"	"0"	"1811.7342009429069"	"0"	"0"	"1811.7342009429069"
0	"Other"	"613.85214356664721"	"62.256319584291063"	"0"	"2545.6375078064161"	"40.460367117520867"	"184.82544153251462"	"3447.03177960739"
0	"Overall total"	"8049.7665882802849"	"2760.6267090538468"	"0"	"7932.6553049796439"	"325.83279190132458"	"1153.0458634412505"	"20221.927257656353"
0	0	0	0	0	0	0	0	0
"Industry"	"Space heating"	"1015.8505703165828"	"112.75540651183994"	"115.26571618159615"	"628.33512653902085"	"0"	"0"	"1872.2068195490397"
0	"High temperature process"	"1900.5019231580361"	"179.36164392923169"	"593.62183842667048"	"803.41902872662718"	"0"	"0"	"3476.904434240565"
0	"Low temperature process"	"3646.1640258333355"	"253.40292379614263"	"298.18208996001579"	"1407.9888193327827"	"0"	"0"	"5605.7378589222762"
0	"Drying/separation"	"1071.7790402714504"	"79.78653752371811"	"144.33397591477993"	"510.27673159606758"	"0"	"0"	"1806.1762853060161"
0	"Unkown (heat)"	"0"	"0"	"0"	"0"	"677.22281317632405"	"1451.9420819045956"	"2129.1648950809195"
0	"Heat total"	"7634.2955595794047"	"625.30651176093238"	"1151.4036204830625"	"3350.0197061944987"	"677.22281317632405"	"1451.9420819045956"	"14890.190293098818"
0	"Motors"	"0"	"0"	"0"	"2691.9961501206581"	"0"	"0"	"2691.9961501206581"
0	"Compressed air"	"0"	"0"	"0"	"759.94873490036798"	"0"	"0"	"759.94873490036798"
0	"Lighting"	"0"	"0"	"0"	"231.56513456795562"	"0"	"0"	"231.56513456795562"
0	"Refrigeration"	"0"	"0"	"0"	"455.0650855816092"	"0"	"0"	"455.0650855816092"
0	"Other"	"1013.1761737880519"	"75.007639727474441"	"136.40547819601827"	"389.71784634274201"	"0"	"0"	"1614.3071380542865"
0	"Overall total"	"8647.4717333674562"	"700.31415148840688"	"1287.8090986790808"	"7878.312657707831"	"677.22281317632405"	"1451.9420819045956"	"20643.072536323696"
0	0	0	0	0	0	0	0	0
"Transport"	"Non-heat purposes"	"0"	"55150.958436025147"	"10.766921603234223"	"428.5079279972739"	"0"	"1363.9724849527086"	"56954.205770578366"
0	0	0	0	0	0	0	0	0
"Total"	"Space heating"	"27629.805425251845"	"3716.0233772009256"	"619.5652247995032"	"2956.0822762879488"	"527.71080766315879"	"3097.3306719117963"	"38546.517783115174"
0	"Water heating"	"6816.5610174639551"	"728.82070712750851"	"21.071316958356164"	"565.85617439353314"	"17.660004171546273"	"239.42276895451715"	"8389.391989069416"
0	"Cooking/catering"	"1203.9061445816697"	"800.61761409480323"	"0"	"1251.8305962208663"	"0.39169961064548392"	"0"	"3256.7460545079848"
0	"Process use"	"5546.6659489913718"	"432.76456772537432"	"891.80392838668627"	"2211.4078480594098"	"0"	"0"	"9082.6422931628422"
0	"Drying/separation"	"1071.7790402714504"	"79.78653752371811"	"144.33397591477993"	"510.27673159606758"	"0"	"0"	"1806.1762853060161"
0	"Unkown (heat)"	"0"	"0"	"0"	"0"	"677.22281317632405"	"1451.9420819045956"	"2129.1648950809195"
0	"Heat total"	"42268.717576560295"	"5758.0128036723299"	"1676.7744460593256"	"7495.4536265578254"	"1222.9853246216744"	"4788.6955227709095"	"63210.639300242365"
0	"Computing"	"0"	"0"	"0"	"825.06300045863441"	"0"	"0"	"825.06300045863441"
0	"Cooling and ventilation"	"2.5180974075091322"	"42.831756122335712"	"0"	"1063.6496969099535"	"5.1948608978213649E-2"	"0"	"1109.0514990487766"
0	"Lighting and appliances"	"0"	"0"	"0"	"8618.3612297254385"	"0"	"0"	"8618.3612297254385"
0	"Motors"	"0"	"0"	"0"	"2691.9961501206581"	"0"	"0"	"2691.9961501206581"
0	"Compressed air"	"0"	"0"	"0"	"759.94873490036798"	"0"	"0"	"759.94873490036798"
0	"Refrigeration"	"0"	"0"	"0"	"455.0650855816092"	"0"	"0"	"455.0650855816092"
0	"Other"	"1627.0283173546991"	"137.26395931176552"	"136.40547819601827"	"2935.3553541491583"	"40.460367117520867"	"184.82544153251462"	"5061.3389176616765"
0	"Transport"	"0"	"55150.958436025147"	"10.766921603234223"	"428.5079279972739"	"0"	"1363.9724849527086"	"56954.205770578366"
0	"Non-heat total"	"1629.5464147622083"	"55331.054151459248"	"147.1723997992525"	"17777.947179843093"	"40.512315726499082"	"1548.7979264852231"	"76475.030388075538"
0	"Overall total"	"43898.263991322507"	"61089.06695513158"	"1823.9468458585779"	"25273.400806400918"	"1263.4976403481735"	"6337.4934492561324"	"139685.6696883179"
0	"Overall total excluding transport"	"43898.263991322507"	"5938.108519106434"	"1813.1799242553436"	"24844.892878403643"	"1263.4976403481735"	"4973.5209643034241"	"82731.463917739529"
0	0	0	0	0	0	0	0	0
0	0	"2017"	0	0	0	0	0	0
"Domestic"	"Space heating"	"19176.131734190545"	"1995.7983125877031"	"521.15988729770243"	"1511.0235672905433"	"260.44203527052508"	"2054.9981735747683"	"25519.553710211785"
0	"Water heating"	"5606.8536290087413"	"470.23848868064078"	"21.775799864107032"	"390.08449602846093"	0	"117.81597843075313"	"6606.7683920127038"
0	"Cooking/catering"	"589.02865580710716"	"0"	"0"	"497.22824750543316"	0	"0"	"1086.2569033125403"
0	"Heat total"	"25372.014019006394"	"2466.0368012683439"	"542.93568716180948"	"2398.3363108244375"	"260.44203527052508"	"2172.8141520055215"	"33212.579005537031"
0	"Lighting and appliances"	"0"	"0"	"0"	"6661.6723512098915"	"0"	"0"	"6661.6723512098915"
0	"Overall total"	"25372.014019006394"	"2466.0368012683439"	"542.93568716180948"	"9060.0086620343282"	"260.44203527052508"	"2172.8141520055215"	"39874.251356746921"
0	0	0	0	0	0	0	0	0
"Services (excl agriculture)"	"Space heating"	"5855.5444551461551"	"1603.2371914806863"	"0"	"767.90832294135282"	"260.62560862687792"	"818.42996186305129"	"9305.7455400581257"
0	"Water heating"	"777.21689575796836"	"257.22597271947416"	"0"	"162.96605575959293"	"17.221051656573202"	"105.97102255241704"	"1320.6009984460259"
0	"Cooking/catering"	"568.41354417119078"	"803.00970454985566"	"0"	"765.48323012656329"	"0.39169961064548392"	"0"	"2137.2981784582553"
0	"Heat total"	"7201.1748950753145"	"2663.472868750016"	"0"	"1696.357608827509"	"278.23835989409662"	"924.40098441546832"	"12763.644716962404"
0	"Computing"	"0"	"0"	"0"	"829.85061555055279"	"0"	"0"	"829.85061555055279"
0	"Cooling and ventilation"	"2.439431316060594"	"42.959729118669564"	"0"	"1069.8217653927361"	"5.0657387733935591E-2"	"0"	"1115.2715832152003"
0	"Lighting"	"0"	"0"	"0"	"1822.2471993420081"	"0"	"0"	"1822.2471993420081"
0	"Other"	"594.67522502581039"	"62.385744438209294"	"0"	"2560.4091465105553"	"39.454694653887785"	"176.46066560015672"	"3433.3854762286192"
0	"Overall total"	"7798.289551417186"	"2768.8183423068949"	"0"	"7978.6863356233625"	"317.74371193571835"	"1100.8616500156249"	"19964.399591298788"
0	0	0	0	0	0	0	0	0
"Industry"	"Space heating"	"1025.6496621794101"	"125.38726376477454"	"126.21423705979852"	"624.28512560579213"	"0"	"0"	"1901.5362886097755"
0	"High temperature process"	"1900.1085433105393"	"180.3644859595795"	"657.45851163685211"	"821.0740906256533"	"0"	"0"	"3559.0056315326242"
0	"Low temperature process"	"3532.117885255901"	"256.76819998153348"	"324.6062105253136"	"1381.782301686884"	"0"	"0"	"5495.274597449632"
0	"Drying/separation"	"1037.9117788339411"	"79.537617590647386"	"157.86337911758153"	"511.64860614035376"	"0"	"0"	"1786.961381682524"
0	"Unkown (heat)"	"0"	"0"	"0"	"0"	"689.88257241966028"	"1268.0232853373484"	"1957.9058577570086"
0	"Heat total"	"7495.7878695797917"	"642.0575672965349"	"1266.1423383395459"	"3338.7901240586834"	"689.88257241966028"	"1268.0232853373484"	"14700.683757031564"
0	"Motors"	"0"	"0"	"0"	"2664.0289698482547"	"0"	"0"	"2664.0289698482547"
0	"Compressed air"	"0"	"0"	"0"	"759.6552603193179"	"0"	"0"	"759.6552603193179"
0	"Lighting"	"0"	"0"	"0"	"228.98851793338417"	"0"	"0"	"228.98851793338417"
0	"Refrigeration"	"0"	"0"	"0"	"436.8497456691191"	"0"	"0"	"436.8497456691191"
0	"Other"	"983.15164065632098"	"75.197236662763459"	"149.69537817423296"	"386.95412542433235"	"0"	"0"	"1594.9983809176497"
0	"Overall total"	"8478.9395102361123"	"717.25480395929833"	"1415.8377165137788"	"7815.2667432530916"	"689.88257241966028"	"1268.0232853373484"	"20385.204631719291"
0	0	0	0	0	0	0	0	0
"Transport"	"Non-heat purposes"	"0"	"55578.587554416925"	"10.766921603234223"	"415.58635903946816"	"0"	"997.12429540460482"	"57002.065130464231"
0	0	0	0	0	0	0	0	0
"Total"	"Space heating"	"26057.325851516111"	"3724.422767833164"	"647.37412435750093"	"2903.217015837688"	"521.06764389740306"	"2873.4281354378195"	"36726.835538879684"
0	"Water heating"	"6384.0705247667102"	"727.46446140011494"	"21.775799864107032"	"553.05055178805389"	"17.221051656573202"	"223.78700098317017"	"7927.3693904587299"
0	"Cooking/catering"	"1157.442199978298"	"803.00970454985566"	"0"	"1262.7114776319963"	"0.39169961064548392"	"0"	"3223.5550817707954"
0	"Process use"	"5432.2264285664405"	"437.13268594111298"	"982.06472216216571"	"2202.8563923125375"	"0"	"0"	"9054.2802289822575"
0	"Drying/separation"	"1037.9117788339411"	"79.537617590647386"	"157.86337911758153"	"511.64860614035376"	"0"	"0"	"1786.961381682524"
0	"Unkown (heat)"	"0"	"0"	"0"	"0"	"689.88257241966028"	"1268.0232853373484"	"1957.9058577570086"
0	"Heat total"	"40068.976783661506"	"5771.5672373148955"	"1809.0780255013551"	"7433.4840437106295"	"1228.562967584282"	"4365.2384217583376"	"60676.907479531008"
0	"Computing"	"0"	"0"	"0"	"829.85061555055279"	"0"	"0"	"829.85061555055279"
0	"Cooling and ventilation"	"2.439431316060594"	"42.959729118669564"	"0"	"1069.8217653927361"	"5.0657387733935591E-2"	"0"	"1115.2715832152003"
0	"Lighting and appliances"	"0"	"0"	"0"	"8712.9080684852852"	"0"	"0"	"8712.9080684852852"
0	"Motors"	"0"	"0"	"0"	"2664.0289698482547"	"0"	"0"	"2664.0289698482547"
0	"Compressed air"	"0"	"0"	"0"	"759.6552603193179"	"0"	"0"	"759.6552603193179"
0	"Refrigeration"	"0"	"0"	"0"	"436.8497456691191"	"0"	"0"	"436.8497456691191"
0	"Other"	"1577.8268656821315"	"137.58298110097275"	"149.69537817423296"	"2947.3632719348875"	"39.454694653887785"	"176.46066560015672"	"5028.3838571462693"
0	"Transport"	"0"	"55578.587554416925"	"10.766921603234223"	"415.58635903946816"	"0"	"997.12429540460482"	"57002.065130464231"
0	"Non-heat total"	"1580.266296998192"	"55759.130264636566"	"160.46229977746719"	"17836.064056239622"	"39.50535204162172"	"1173.5849610047615"	"76549.013230698227"
0	"Overall total"	"41649.243080659697"	"61530.697501951465"	"1969.5403252788224"	"25269.548099950251"	"1268.0683196259038"	"5538.8233827630993"	"137225.92071022923"
0	"Overall total excluding transport"	"41649.243080659697"	"5952.10994753454"	"1958.773403675588"	"24853.961740910781"	"1268.0683196259038"	"4541.6990873584946"	"80223.85557976499"
0	0	0	0	0	0	0	0	0
0	0	"2016"	0	0	0	0	0	0
"Domestic"	"Space heating"	"19567.758598716446"	"2021.7069261057916"	"538.51530805582991"	"1665.6152130557027"	"260.44203527052508"	"2053.3266164506726"	"26107.364697654964"
