"Source Sector"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"	"2000"	"1999"	"1998"	"1995"	"1990"	"Baseline Period"
"Grand Total"	41.6131211368458	40.9891661039706	42.0365744801355	46.1924091195514	47.3001353839865	50.7505904496375	52.5223158139246	52.1142747834328	58.8557073170714	56.2783899833941	60.3061193362165	62.4010904369852	66.5576521339527	64.3782599525732	66.3716488663256	68.9152770180095	68.8311379285114	72.9620000491031	73.9421490176873	72.6432164737543	75.6455455902834	76.8328770461832	76.200162793995	76.2925607761199
"Transport (excluding international)"	12.9051721096078	13.0425141153314	12.7541794873589	12.4335291978549	12.1858668255149	12.0950600882574	12.2645320784818	12.4362877247414	12.9894658802376	13.3076136644592	13.8568688560073	14.5027285715539	14.2346764290489	14.3501543684266	14.266095308534	14.3574911748308	14.5284943829316	14.0143825025658	14.3140933552738	14.8604425659775	14.7608150675546	14.3521805205362	13.5665913563426	13.5665913563426
"Business"	8.41319991535203	8.50586507216628	8.24877678981427	8.21660968616585	8.17962478974593	8.72922592528541	8.6283749013741	8.71254029307079	9.01045241906562	8.76902193418941	9.80866775690038	9.34609331761027	9.82130544678063	10.1572323243014	10.2820216220693	10.3644101133632	10.0987737564994	10.9403752676162	10.5979344901709	10.6501627287489	10.4035301109289	10.4914085039242	12.4145956170876	12.5170642647891
"Agriculture"	7.47352504710988	7.60356176629526	7.63494947577655	7.61710847946161	7.74434203231545	7.6000997075737	7.67954342054087	7.72161707544875	7.74859395298881	7.7031800399882	7.72185666539322	8.17088885404809	8.02493957880116	8.2277374995999	8.33132259319378	8.39083930224463	8.31903993799721	8.30496814728322	8.57484736632007	8.86843689004707	8.88384544855039	8.90294612071592	8.88919254819272	8.88919254819272
"Energy Supply"	6.80380969282438	6.00104707890616	7.43784171242814	12.2497737057245	13.882519255598	15.9791301273391	17.4252562744886	17.0297893620139	20.8975539490935	18.6920062431583	20.085859380377	21.4007661604468	24.6439377834536	20.7926676468444	21.9389386304058	23.7273668570255	23.557147922303	25.6360814076652	26.3083789486523	23.3598876785653	25.7868322707385	26.7493670726034	22.7284998990793	22.7284998990793
"Residential"	6.23128155564559	6.0247499209717	6.21526932403027	6.10744197455422	5.9140870412984	7.06990940003637	7.03027095536938	6.48942880238554	8.01600023369256	7.18351285634815	7.47382712890948	7.268943184712	7.50396763429821	7.7083608269804	7.76441567010612	7.60654552894094	7.6121331819693	8.31600291615775	7.81848326461543	7.95791184102119	8.06823096085375	7.84472221798193	8.00500161323026	8.06297694744645
"International Aviation and Shipping"	1.90184038671063	1.92640247995226	1.81402204033832	1.70334006632432	1.63841692255953	1.53938527237542	1.46318044291872	1.55501666944792	1.43297235525021	1.63208423425182	1.77984534281013	1.74671149625181	1.69723993296847	1.61230984049786	1.50346612145091	1.32769324883957	1.38868918969994	1.548636510794	1.42497874726877	1.57984114281259	1.74756471826699	1.46067681550204	1.31261124807014	1.31261124807014
"Waste Management"	1.67583626641392	1.70432900428997	1.64630228506536	1.72929145874435	1.47733858881313	1.45205859976806	2.04801003322163	2.39298167317456	2.52910951629474	2.76838695010816	3.09079123658804	3.24151315509182	3.6198853108239	4.04092511168956	4.45050012359077	5.08017007316254	5.21037583562594	5.39791400585093	5.73739806815965	5.86035286572512	6.09235374626383	6.24845663570911	6.02721902436235	6.02721902436235
"Public"	1.09902317274321	1.0470328849452	1.11300914095591	1.09330743732031	1.02303031287614	1.19903980626296	1.19404074599289	1.05690816080887	1.2778859638348	1.19616126388603	1.3321432414894	1.27983762300173	1.37887805478676	1.52670553922008	1.55273292159867	1.42773533750799	1.43264459860398	1.68332788877108	1.64495731772202	1.75739287639243	1.76900670488261	1.80605991461901	1.68636346583887	1.68636346583887
"Industrial processes"	0.536231942287356	0.553280791294682	0.522381541387759	0.430572923342579	0.541805268646709	0.499430596246061	0.449309558757615	0.451663701989748	0.39192916372888	0.405931858647552	0.529178241106818	0.539681558335889	0.558424175388389	0.546945061926321	0.63468106283824	0.628137221920736	0.612079044929412	0.576817204190906	0.597995739924002	0.615643362384483	0.64602425152414	0.580220242223639	1.92360633935751	1.85556033956465
"Land use, land use change and forestry"	-5.426798951849	-5.41961701018233	-5.35015731702	-5.38856580994134	-5.28689565338168	-5.41274907350701	-5.660202597221	-5.73195867964867	-5.43825611711533	-5.37950906164267	-5.37291851336532	-5.09607348406699	-4.92560221239733	-4.58477826691333	-4.352525187462	-3.99511183982633	-3.92823992204834	-3.45650580179199	-3.07691828041966	-2.86685547792033	-2.51265768928033	-1.60316099763233	-0.353518317566323	-0.353518317566323
