"Quarter","Onshore Wind","Offshore Wind","Shoreline wave / tidal","Solar photovoltaics","Hydro","Landfill gas","Sewage sludge digestion","Energy from Waste","Co-firing with fossil fuels","Animal Biomass","Anaerobic Digestion","Plant Biomass","Liquid Biofuels","Total"
2014 Q3,2884.04,2242.1,0.22,1561.84,778.6,1238.55,208.33,485.21,28.22,131.99,258.83,3563.48,0,13381.41
2014 Q4,5968.05,4686.6,0.59,548.86,1752.46,1263.98,215.05,480.26,25.48,162.09,291.19,4248.4,0,19643.01
2015 Q1,7160.87,4675.27,0.57,937.53,2010.55,1239.76,224.79,608.51,35.75,169.76,329.21,4352.01,0,21744.58
2015 Q2,4757.43,3577.58,0.47,3104.26,1425.33,1211.62,232.75,603.39,35.66,171.09,352.42,4411.04,0,19883.04
2015 Q3,3809.02,3412.26,0.48,2695.23,1028.44,1200.67,216.62,684.91,56.99,141.84,374.13,4384.23,0,18004.82
2015 Q4,7124.67,5757.63,0.48,795.84,1832.95,1220.13,220.21,685.62,54.91,165.12,428.91,5444.92,0,23731.39
2016 Q1,6324.27,5148.29,0,1457.2,2081.56,1217.93,236.25,727.83,51,171.32,508.11,5615.82,0,23539.58
2016 Q2,3957.09,3252.21,0,3868.22,932.57,1170.8,250.79,625.37,14.99,165.11,518.47,4962.24,0,19717.86
2016 Q3,4599.31,3581.88,0,3739.22,1147.99,1158.17,228.84,677.1,4.77,140.5,550.82,3462.42,0,19291.02
2016 Q4,5873.01,4423.36,0.01,1330.49,1208.27,1155.96,234.42,709.45,46.7,173.27,580.39,4706.7,0,20442.03
2017 Q1,7745.42,5162.04,0.33,1605.77,1798.44,1095.8,245.91,844.66,51.41,174.25,647.21,5906.57,0,25277.81
2017 Q2,6186.06,3991.54,0.1,4578.73,863.85,1058.75,246.88,822.21,0.68,165.75,653.73,4878.25,0,23446.53
2017 Q3,5629.92,3959.23,2.44,3956.85,1263.84,1063,231.72,867.74,1.79,140.72,661.95,4798.44,0,22577.64
2017 Q4,9163.83,7803.11,1.32,1315.89,1955.73,1066.25,242.83,850.99,0,168.46,669,4339.23,0,27576.64
2018 Q1,9561.36,7927.02,3.14,1793.14,1564.5,1005.41,242.98,872.61,0.27,171.87,686.55,4762.76,33.73,28625.34
2018 Q2,5436.63,4727.01,3.11,4909.38,953.57,976.52,263.1,872.61,0.27,163.15,698.46,5661.79,33.73,24699.33
2018 Q3,5546.96,5018,1.14,4481,890.92,958.48,227.99,872.61,0.27,130.27,705.4,5897.39,33.73,24764.16
2018 Q4,9837.46,8853.17,1.91,1484.88,2034.29,975.38,257.96,872.61,0.27,168.65,707.15,6814.04,33.73,32041.5
2019 Q1,9836.32,8600,3.16,1917.77,1891.3,930.12,263.14,892.87,0.42,168.1,730.54,5953.78,36.12,31223.64
2019 Q2,6051.68,5936.17,3.92,4620.82,831.84,892.02,269.84,916.58,0.42,169.02,728.71,6107.56,36.12,26564.7
2019 Q3,6795.86,7188.31,3.98,4488.29,1406.06,891.06,254.4,961.54,0.42,145.4,746.69,6051.33,36.12,28969.46
2019 Q4,9175.88,10250.67,2.93,1391.17,1803.69,911.12,261.24,1020.58,0.42,178.31,743.06,7192.99,36.12,32968.18
2020 Q1,12929.06,13362,2.93,1888.91,2473.5,892.3,268.61,1139.66,0,176.56,739.91,7127.91,36.55,41037.9
2020 Q2,6085.74,7290.1,3.13,5173.04,1009.82,867.4,278.93,1105.43,0,161.03,729.79,6760.33,36.55,29501.29
2020 Q3,6670.7,8011.6,3.45,4086.37,1183.75,854.71,253.24,1069.93,0,142.29,747.13,6093.48,36.55,29153.2
2020 Q4,9013.29,12017.39,1.77,1355.64,2201.75,881.68,266,1031.71,0,167.32,742.82,6870.49,36.55,34586.41
2021 Q1,9962.05,11200.54,1.34,1724.52,1766.6,836.92,261.59,1149.02,0,162.7,770.23,7130.06,37.2,35002.77
2021 Q2,5295.43,6189.94,1.25,4828.74,997,822.7,275.11,1121.33,0,165,783.14,6585.57,37.2,27102.41
2021 Q3,3992.32,6124.24,1.3,4069.77,562.19,821.76,245.22,1131.01,0,132.42,859.63,5994.31,37.2,23971.37
2021 Q4,9903.77,11994.82,1.59,1452.47,2072.47,831.5,264.79,1157.46,0,156.25,864.18,7376.28,37.2,36112.78
2022 Q1,11817.38,12626.96,1.54,1994.27,1944.69,784.6,270.69,1201.37,0,162.41,829,6782.73,36.82,38452.46
2022 Q2,7465.11,8876.8,2.73,4925.23,993.58,780.34,272.12,1169.22,0,158.8,844.2,4902.34,36.82,30427.29
2022 Q3,5686.7,7728.84,3.43,4672.06,771.02,761.24,231.48,1175.16,0,126.35,863.97,6089.83,36.82,28146.9
2022 Q4,10268.19,15787.27,3.5,1691.34,1930.84,774.96,233.95,1210.64,0,154.97,853.74,5038.87,36.82,37985.09
2023 Q1,10291.99,15022.02,3.19,1809.12,1665.28,765.23,263.2,1198.51,0,160.8,835.56,5699.52,36.82,37751.24
2023 Q2,5114.93,8550.68,2.18,5523.74,721.05,737.38,266.31,1174.56,0,153.7,827.06,4092.63,36.82,27201.04
