"Year","All fuels - Total","GVA","GDP at Market Prices","Energy Productivity","2015 change","2005 change"
2005,171340.421153597,130209.23053152,82.984492303791,0.759944615840502,NA,0
2006,166202.648243489,134362.582815857,85.631492284265,0.808426244923688,NA,0.0637962662970699
2007,166505.700416565,135919.621560449,86.623818782086,0.816306115769037,NA,0.0741652730392708
2008,164072.566147129,137903.381157903,87.888101524373,0.840502372799118,NA,0.106004773610401
2009,154385.000897706,134463.106184058,85.695557486408,0.870959648943825,NA,0.146083057619323
2010,156454.557792548,136852.099815767,87.218102568927,0.874708297071329,NA,0.151015848837744
2011,152266.689712267,139116.671980718,88.661351796548,0.913638250385567,NA,0.202243204756546
2012,150942.367373783,141795.6711855,90.368722218626,0.939402724712585,NA,0.236146299521579
2013,147609.20931543,144442.211639561,92.055406142993,0.978544714855141,NA,0.287652671600109
2014,146122.349443419,148922.864392868,94.911000115901,1.01916554832383,NA,0.341105031972133
2015,145429.209541763,150680.25660466,96.031015186099,1.036107237875,0,0.363398353351131
2016,145916.580997777,151286.534114506,96.417405852447,1.03680152783192,0.000670094688600242,0.364311959346158
2017,150169.319870828,154442.694463845,98.428878949632,1.02845704166932,-0.00738359498517893,0.353331572106527
2018,148160.180729273,155538.449615207,99.127221797937,1.04979927028718,0.0132148796105878,0.38141549845194
2019,144885.051664927,156907.907630317,100,1.08298203180543,0.0452412570986067,0.425080208782907
2020,134269.035654461,137835.553707254,87.844873970279,1.02656247611677,-0.00921213693845613,0.350838541018395
2021,137412.285765789,149424.497860296,95.230699406398,1.08741730790346,0.0495219685306896,0.43091652370058
