LA Code,Year,Gas - Industrial,Gas - Commercial,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial
S92000003,2005,0.5145278750433752,0.48547212495662484,0.7991397266769402,0.20086027332305978
S92000003,2006,0.5145278750433752,0.48547212495662484,0.7991397266769402,0.20086027332305978
S92000003,2007,0.5145278750433752,0.48547212495662484,0.7991397266769402,0.20086027332305978
S92000003,2008,0.5145278750433752,0.48547212495662484,0.7991397266769402,0.20086027332305978
S92000003,2009,0.5145278750433752,0.48547212495662484,0.7991397266769402,0.20086027332305978
S92000003,2010,0.5145278750433752,0.48547212495662484,0.7991397266769402,0.20086027332305978
S92000003,2011,0.547499837237138,0.452500162762862,0.824988344988345,0.17501165501165505
S92000003,2012,0.5042649582508434,0.4957350417491566,0.8050586159705848,0.1949413840294152
S92000003,2013,0.5023935755675358,0.49760642443246417,0.7643614202437732,0.23563857975622682
S92000003,2014,0.5353433163125451,0.46465668368745494,0.7818368448064852,0.2181631551935148
S92000003,2015,0.5386304489809589,0.4613695510190411,0.4518590412076282,0.5481409587923718
S92000003,2017,0.5180345746085273,0.4819654253914727,0.5945043092163824,0.4054956907836176
S92000003,2018,0.5094337703246439,0.4905662296753561,0.5905013851279899,0.4094986148720101
S92000003,2019,0.5158400995437381,0.4841599004562619,0.5884631331628776,0.41153686683712243
S92000003,2020,0.532001802068475,0.467998197931525,0.5987954880158275,0.4012045119841725
S92000003,2021,0.5347043623279597,0.4652956376720403,0.5987954880158275,0.4012045119841725
