LA Code,Year,Electricity - Industrial,Electricity - Commercial
S92000003,2005,0.595378185613794,0.40462181438620604
S92000003,2006,0.596856133584417,0.403143866415583
S92000003,2007,0.592196013686619,0.407803986313381
S92000003,2008,0.589480505519017,0.410519494480983
S92000003,2009,0.566969613027729,0.43303038697227103
S92000003,2010,0.5718396362054,0.4281603637946
S92000003,2011,0.569811013095854,0.430188986904146
S92000003,2012,0.5582811971397691,0.4417188028602309
S92000003,2013,0.551559760217003,0.44844023978299696
S92000003,2014,0.554064559040552,0.44593544095944804
S92000003,2015,0.55415701321099,0.44584298678901
S92000003,2017,0.49471176917472776,0.5052882308252722
S92000003,2018,0.500727636129924,0.499272363870076
S92000003,2019,0.5018321303347174,0.4981678696652826
S92000003,2020,0.5125948695914992,0.48740513040850075
S92000003,2021,0.5125948695914992,0.48740513040850075
